,0
0,2.228
1,1.7978
2,1.975
3,3.4793
4,0.4269
5,0.0985
6,2.163
7,0.7415
8,0.1586
9,0.9516
10,2.3677
11,0.5368
12,3.1126
13,0.0709
14,0.3479
15,3.4305
16,3.1915
17,1.5957
18,2.5107
19,1.3816
20,0.3576
21,2.2213
22,3.4627
23,0.7386
24,2.1359
25,1.1174
26,2.7252
27,3.4633
28,1.0539
29,1.3402
30,1.0426
31,1.3873
32,2.2327
33,0.6101
34,0.3057
35,1.9195
36,0.3437
37,2.3811
38,3.0736
39,2.6273
40,0.9248
41,2.1132
42,1.1318
43,2.3556
44,0.6372
45,3.0161
46,1.9116
47,0.9566
48,1.3378
49,2.0043
50,0.9912
51,3.2703
52,2.0239
53,2.6478
54,1.9704
55,0.49
56,1.7406
57,3.3281
58,2.1174
59,2.8994
60,1.313
61,1.0506
62,0.1824
63,0.0919
64,1.7105
65,1.2601
66,0.7124
67,3.4424
68,1.4262
69,1.7558
70,2.9094
71,3.1517
72,1.9969
73,0.6852
74,0.5936
75,0.4378
76,1.3396
77,3.3425
78,0.0103
79,1.2844
80,2.2317
81,1.4532
82,0.5654
83,1.2244
84,0.3901
85,0.7303
86,1.1451
87,1.3618
88,0.5466
89,1.6553
90,0.4342
91,0.237
92,2.1977
93,3.2127
94,2.0911
95,0.7014
96,2.6261
97,1.5542
98,2.6732
99,2.7118
100,1.7575
101,2.9083
102,2.466
103,2.7147
104,0.8007
105,0.9224
106,2.1807
107,0.1656
108,0.2944
109,1.3874
110,3.0611
111,2.8258
112,0.5466
113,1.7413
114,3.4437
115,2.4231
116,2.4026
117,3.4767
118,1.5061
119,1.2348
120,0.8256
121,3.4263
122,3.4723
123,2.5868
124,2.3812
125,1.1288
126,2.837
127,2.3735
128,2.2819
129,1.2627
130,2.7371
131,0.7178
132,2.4471
133,0.0823
134,1.0362
135,0.8704
136,2.6224
137,1.3055
138,1.788
139,0.805
140,1.2832
141,2.716
142,2.1326
143,2.0722
144,2.0388
145,0.4022
146,2.5282
147,1.4075
148,2.8015
149,0.7618
150,0.4621
151,2.161
152,2.6346
153,0.5084
154,0.653
155,2.805
156,1.3288
157,2.7706
158,3.3133
159,2.5981
160,2.6501
161,0.6102
162,0.7983
163,0.3523
164,2.791
165,0.0133
166,3.0487
167,2.7062
168,2.6066
169,0.7137
170,0.6453
171,0.0533
172,1.0068
173,2.9251
174,0.058
175,1.5422
176,1.2117
177,1.5756
178,2.4812
179,1.0088
180,2.1806
181,0.1586
182,1.2076
183,0.6631
184,1.9006
185,3.3902
186,0.2131
187,0.0336
188,3.4742
189,2.052
190,0.9624
191,1.0408
192,0.0863
193,2.9441
194,2.2415
195,0.3649
196,2.1503
197,2.7844
198,2.5344
199,1.263
200,2.3009
201,2.9539
202,1.4775
203,2.926
204,2.2654
205,3.2185
206,3.3619
207,2.6949
208,1.404
209,2.6884
210,3.0355
211,2.2678
212,2.246
213,0.7122
214,3.2431
215,0.9626
216,0.6744
217,0.7025
218,1.9174
219,1.6596
220,1.4935
221,1.9167
222,1.6229
223,0.2724
224,0.7193
225,0.1409
226,1.7906
227,3.4675
228,1.1785
229,0.9255
230,2.8484
231,2.5736
232,1.0668
233,1.4756
234,0.7439
235,0.5056
236,0.4761
237,1.1608
238,2.7152
239,3.2729
240,3.1037
241,2.2481
242,2.431
243,1.8114
244,0.8914
245,1.3929
246,1.1756
247,3.1937
248,1.5641
249,0.1202
250,1.316
251,2.1481
252,2.1352
253,1.9409
254,1.1476
255,1.34
256,1.7313
257,1.0927
258,0.3595
259,2.3951
260,2.6214
261,0.3014
262,3.4469
263,0.2941
264,1.3421
265,1.517
266,2.5634
267,1.7653
268,1.3398
269,0.4313
270,1.7896
271,1.033
272,1.6238
273,2.8913
274,0.7389
275,2.7147
276,1.6203
277,2.2737
278,0.9781
279,1.8275
280,3.1164
281,1.3826
282,3.4366
283,1.0181
284,2.7789
285,1.4491
286,0.1118
287,2.3453
288,2.3526
289,2.7307
290,2.623
291,2.9745
292,0.4768
293,2.4246
294,0.4209
295,3.074
296,0.3494
297,0.7704
298,2.9951
299,2.9641
300,2.5994
301,2.34
302,1.6685
303,0.8836
304,1.8912
305,2.6292
306,0.2459
307,2.3736
308,0.439
309,0.1093
310,0.6376
311,2.3909
312,1.1132
313,0.7135
314,2.3325
315,2.9951
316,2.7749
317,2.293
318,1.6707
319,2.1043
320,3.4324
321,0.7463
322,1.4426
323,2.1548
324,0.8762
325,1.3919
326,2.6322
327,0.7371
328,0.8257
329,1.4686
330,2.6787
331,0.3501
332,0.9798
333,3.1667
334,1.1362
335,0.6415
336,1.5779
337,3.0083
338,2.2839
339,0.4584
340,0.403
341,3.3164
342,1.7824
343,1.9854
344,1.7314
345,0.812
346,2.9901
347,2.7229
348,2.9008
349,0.0153
350,2.5977
351,1.8617
352,0.0268
353,1.4347
354,1.231
355,1.5687
356,1.8557
357,0.9572
358,3.3692
359,0.5575
360,2.7731
361,3.1217
362,2.0587
363,0.7646
364,1.8824
365,2.6762
366,0.976
367,2.965
368,0.2254
369,2.9293
370,2.7638
371,1.2027
372,1.1307
373,2.6252
374,0.2369
375,0.8905
376,3.3854
377,3.1139
378,0.8929
379,0.0975
380,0.9487
381,2.5506
382,2.9483
383,2.315
384,0.0959
385,0.3391
386,1.1454
387,1.1193
388,0.421
389,2.1847
390,2.1433
391,1.0621
392,2.2854
393,0.4779
394,2.2933
395,0.6213
396,1.2873
397,2.2044
398,1.3631
399,3.2073
400,0.4019
401,1.1043
402,2.3807
403,2.7968
404,2.4765
405,0.2866
406,1.7138
407,0.8355
408,1.5052
409,0.5227
410,3.3971
411,0.3368
412,3.3347
413,3.0589
414,1.6727
415,0.9125
416,1.8663
417,3.1306
418,1.4338
419,0.8045
420,1.049
421,1.2509
422,1.8999
423,2.5126
424,2.967
425,0.1106
426,0.2556
427,2.5702
428,1.3738
429,0.1262
430,1.8217
431,1.8894
432,1.7933
433,2.1626
434,2.0322
435,0.7734
436,0.1535
437,1.8559
438,2.1596
439,0.3862
440,1.8981
441,1.0215
442,0.5428
443,0.4174
444,1.6251
445,0.9141
446,2.7209
447,2.2676
448,0.0456
449,2.6894
450,3.1494
451,3.0258
452,0.2905
453,2.9372
454,2.4932
455,0.6397
456,3.2749
457,1.4055
458,3.3448
459,1.5294
460,0.3606
461,0.6436
462,2.6859
463,0.4471
464,1.2369
465,1.1
466,2.4431
467,0.0774
468,1.8588
469,2.2282
470,1.7329
471,1.777
472,1.4987
473,2.9487
474,0.5451
475,0.6606
476,2.5402
477,3.0389
478,0.7744
479,2.2477
480,0.2485
481,1.2636
482,3.4946
483,0.3573
484,1.7423
485,1.6097
486,3.3264
487,3.3487
488,1.4216
489,1.472
490,0.217
491,2.1731
492,2.8493
493,3.2747
494,0.7348
495,0.3784
496,1.7762
497,0.7612
498,1.5396
499,0.8712
500,2.2273
501,2.9971
502,1.2661
503,3.1402
504,1.2429
505,1.9164
506,0.0183
507,3.1018
508,1.2368
509,2.7991
510,0.404
511,1.3142
512,2.5546
513,2.6332
514,1.3119
515,3.1638
516,0.4439
517,1.4471
518,1.1287
519,0.8396
520,2.8687
521,2.9259
522,2.4424
523,0.8139
524,2.9034
525,1.4291
526,3.4068
527,1.1253
528,2.4337
529,0.0164
530,0.7442
531,0.3364
532,0.2992
533,1.4991
534,1.2218
535,1.6081
536,1.9171
537,1.9975
538,2.1248
539,1.6144
540,1.0681
541,0.1487
542,1.7324
543,2.3113
544,1.0919
545,2.3323
546,0.3156
547,1.2992
548,2.3294
549,0.9995
550,2.6475
551,2.0507
552,0.7351
553,0.4544
554,1.6095
555,0.2175
556,3.2799
557,2.3768
558,1.1231
559,2.4803
560,3.1612
561,0.6822
562,2.3324
563,1.0061
564,3.1393
565,2.185
566,2.9358
567,0.784
568,1.9145
569,1.7887
570,2.3086
571,2.0492
572,2.2432
573,0.0444
574,1.6073
575,1.6017
576,3.091
577,0.1149
578,1.6576
579,0.1238
580,0.0237
581,1.215
582,1.3328
583,1.3566
584,3.3404
585,1.9328
586,1.3806
587,1.4874
588,0.4769
589,1.1363
590,1.4097
591,1.5669
592,1.1669
593,2.3579
594,0.2366
595,0.1413
596,1.8326
597,1.8098
598,3.0964
599,3.4931
600,1.7474
601,3.3207
602,3.3774
603,2.055
604,1.1984
605,2.7503
606,1.4016
607,1.884
608,2.5353
609,3.1542
610,2.2175
611,1.8805
612,0.9111
613,1.8511
614,1.7979
615,1.0851
616,1.1072
617,0.8442
618,0.9755
619,0.8841
620,2.6525
621,0.4164
622,1.3963
623,0.2492
624,2.3083
625,1.7439
626,0.6349
627,1.2387
628,0.4982
629,1.0734
630,3.3816
631,2.8678
632,0.4942
633,2.4866
634,2.7327
635,2.8339
636,1.311
637,0.3915
638,0.6316
639,1.9586
640,2.8764
641,0.471
642,0.8704
643,0.0762
644,1.9349
645,2.5216
646,3.4037
647,1.9447
648,2.3803
649,0.8251
650,0.8925
651,2.2273
652,0.3968
653,1.5023
654,2.6669
655,0.1086
656,2.4782
657,0.322
658,3.2184
659,0.0995
660,3.3422
661,2.1217
662,1.969
663,1.2789
664,1.3024
665,0.0969
666,1.7956
667,1.4672
668,1.4168
669,0.6505
670,1.7155
671,0.6471
672,1.7782
673,1.4235
674,3.1569
675,3.0384
676,0.5993
677,1.2831
678,1.775
679,3.2763
680,1.5056
681,2.4934
682,1.5278
683,0.724
684,0.31
685,2.5616
686,2.7089
687,2.8256
688,3.3815
689,3.4239
690,2.4508
691,2.6716
692,1.313
693,0.3992
694,2.4834
695,2.1918
696,1.6604
697,2.5762
698,2.4535
699,2.1626
700,2.375
701,0.1652
702,2.3396
703,2.4734
704,3.0572
705,2.969
706,0.6587
707,2.6139
708,1.1011
709,0.6463
710,1.0589
711,3.4711
712,2.8231
713,0.1227
714,0.1843
715,0.3618
716,3.0828
717,1.0849
718,3.1042
719,2.1641
720,2.8945
721,0.85
722,2.5669
723,1.4603
724,1.6475
725,2.5332
726,0.9346
727,1.0807
728,0.5992
729,0.5947
730,2.5387
731,0.3867
732,2.996
733,1.9261
734,1.706
735,2.3961
736,3.3529
737,2.7509
738,1.9624
739,1.8871
740,2.4969
741,0.7156
742,0.8987
743,1.3119
744,2.7486
745,2.6705
746,2.2413
747,0.0529
748,1.3888
749,1.7359
750,0.7441
751,0.5492
752,2.8835
753,0.4017
754,2.2811
755,1.4617
756,2.595
757,2.6852
758,3.47
759,0.8152
760,3.4413
761,0.3869
762,1.9097
763,0.4999
764,3.0287
765,1.1641
766,1.4005
767,2.9356
768,2.8843
769,1.0468
770,2.8193
771,1.9866
772,0.246
773,0.2869
774,2.1094
775,1.878
776,2.4444
777,2.0232
778,2.8818
779,1.842
780,1.314
781,1.3169
782,2.0849
783,1.0716
784,2.4344
785,0.3109
786,1.7586
787,3.1375
788,0.6723
789,2.5706
790,0.2186
791,1.9359
792,1.7015
793,1.0995
794,0.9712
795,0.4198
796,1.8796
797,1.4485
798,2.5015
799,2.6465
800,0.1712
801,1.1645
