$DateFormat = dd-mm-yyyy,,
#,Cubic Meters per Second,
#,Observed,
01-10-1982,1.69864, 
01-11-1982,1.5538, 
01-12-1982,1.42335, 
01-01-1983,1.41638, 
01-02-1983,1.53114, 
01-03-1983,1.46362, 
01-04-1983,1.76043, 
01-05-1983,2.2719, 
01-06-1983,2.00819, 
01-07-1983,1.46672, 
01-08-1983,1.18022, 
01-09-1983,1.14983, 
01-10-1983,1.06121, 
01-11-1983,1.11959, 
01-12-1983,0.963745, 
01-01-1984,0.987619, 
01-02-1984,1.11311, 
01-03-1984,0.969277, 
01-04-1984,1.32882, 
01-05-1984,1.22253, 
01-06-1984,1.63109, 
01-07-1984,1.26623, 
01-08-1984,1.10012, 
01-09-1984,1.00678, 
01-10-1984,0.944473, 
01-11-1984,0.971804, 
01-12-1984,0.871443, 
01-01-1985,0.89377, 
01-02-1985,0.981873, 
01-03-1985,0.901112, 
01-04-1985,1.00707, 
01-05-1985,0.930161, 
01-06-1985,1.01303, 
01-07-1985,0.940848, 
01-08-1985,0.973709, 
01-09-1985,1.03699, 
01-10-1985,0.878746, 
01-11-1985,0.876515, 
01-12-1985,0.816568, 
01-01-1986,0.876814, 
01-02-1986,0.924407, 
01-03-1986,1.0698, 
01-04-1986,1.38389, 
01-05-1986,1.19226, 
01-06-1986,1.34267, 
01-07-1986,1.10363, 
01-08-1986,1.05124, 
01-09-1986,1.24006, 
01-10-1986,0.924235, 
01-11-1986,0.890972, 
01-12-1986,0.808222, 
01-01-1987,0.823765, 
01-02-1987,1.04307, 
01-03-1987,0.936491, 
01-04-1987,1.07668, 
01-05-1987,1.11554, 
01-06-1987,1.01621, 
01-07-1987,0.917225, 
01-08-1987,0.896244, 
01-09-1987,0.841177, 
01-10-1987,0.753095, 
01-11-1987,0.814964, 
01-12-1987,0.752447, 
01-01-1988,0.761741, 
01-02-1988,0.815445, 
01-03-1988,0.770101, 
01-04-1988,0.849231, 
01-05-1988,0.940177, 
01-06-1988,0.958318, 
01-07-1988,0.815203, 
01-08-1988,0.814627, 
01-09-1988,0.833826, 
01-10-1988,0.711303, 
