Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: SG_KeyaPahaRiver"
Cubic Meters per Second
Statistic,Modeled,Observed
"Oct 1982",1.69864,1.69864
"Nov 1982",1.7905,1.5538
"Dec 1982",1.81302,1.42335
"Jan 1983",1.88865,1.41638
"Feb 1983",2.09803,1.53114
"Mar 1983",1.94762,1.46362
"Apr 1983",2.33524,1.76043
"May 1983",2.82256,2.2719
"Jun 1983",2.60856,2.00819
"Jul 1983",2.03743,1.46672
"Aug 1983",1.77697,1.18022
"Sep 1983",1.77264,1.14983
"Oct 1983",1.64988,1.06121
"Nov 1983",1.7531,1.11959
"Dec 1983",1.56189,0.963745
"Jan 1984",1.61136,0.987619
"Feb 1984",1.78479,1.11311
"Mar 1984",1.56035,0.969277
"Apr 1984",1.98611,1.32882
"May 1984",1.83999,1.22253
"Jun 1984",2.29368,1.63109
"Jul 1984",1.88831,1.26623
"Aug 1984",1.74578,1.10012
"Sep 1984",1.67702,1.00678
"Oct 1984",1.57491,0.944473
"Nov 1984",1.64982,0.971804
"Dec 1984",1.50871,0.871443
"Jan 1985",1.55546,0.89377
"Feb 1985",1.71703,0.981873
"Mar 1985",1.50235,0.901112
"Apr 1985",1.69961,1.00707
"May 1985",1.58063,0.930161
"Jun 1985",1.71118,1.01303
"Jul 1985",1.59536,0.940848
"Aug 1985",1.65278,0.973709
"Sep 1985",1.74104,1.03699
"Oct 1985",1.54012,0.878746
"Nov 1985",1.58758,0.876515
"Dec 1985",1.48455,0.816568
"Jan 1986",1.57009,0.876814
"Feb 1986",1.6944,0.924407
"Mar 1986",1.69935,1.0698
"Apr 1986",2.10808,1.38389
"May 1986",1.87117,1.19226
"Jun 1986",2.07018,1.34267
"Jul 1986",1.78422,1.10363
"Aug 1986",1.75705,1.05124
"Sep 1986",1.97169,1.24006
"Oct 1986",1.61123,0.924235
"Nov 1986",1.62958,0.890972
"Dec 1986",1.50183,0.808222
"Jan 1987",1.54331,0.823765
"Feb 1987",1.84197,1.04307
"Mar 1987",1.58919,0.936491
"Apr 1987",1.82716,1.07668
"May 1987",1.81919,1.11554
"Jun 1987",1.77019,1.01621
"Jul 1987",1.62242,0.917225
"Aug 1987",1.6275,0.896244
"Sep 1987",1.59904,0.841177
"Oct 1987",1.4648,0.753095
"Nov 1987",1.58042,0.814964
"Dec 1987",1.47123,0.752447
"Jan 1988",1.50711,0.761741
"Feb 1988",1.61406,0.815445
"Mar 1988",1.4702,0.770101
"Apr 1988",1.62558,0.849231
"May 1988",1.66815,0.940177
"Jun 1988",1.73796,0.958318
"Jul 1988",1.54381,0.815203
"Aug 1988",1.56958,0.814627
"Sep 1988",1.61562,0.833826
"Oct 1988",1.44494,0.711303
"Nov 1988",1.56451,0.776325
"Dec 1988",1.44867,0.708956
"Jan 1989",1.49805,0.731218
"Feb 1989",1.64891,0.798234
"Mar 1989",1.37068,0.676014
"Apr 1989",1.62848,0.830197
"May 1989",1.48908,0.741052
"Jun 1989",1.55902,0.758003
"Jul 1989",1.45948,0.719037
"Aug 1989",1.47324,0.706455
"Sep 1989",1.6172,0.823173
"Oct 1989",1.43653,0.69199
"Nov 1989",1.55446,0.736484
"Dec 1989",1.43357,0.67214
"Jan 1990",1.50125,0.712637
"Feb 1990",1.64718,0.773092
"Mar 1990",1.40106,0.687784
"Apr 1990",1.59863,0.77963
"May 1990",1.59998,0.833073
"Jun 1990",1.72464,0.904051
"Jul 1990",1.59965,0.834902
"Aug 1990",1.5667,0.775308
"Sep 1990",1.53277,0.71406
"Oct 1990",1.4321,0.664755
"Nov 1990",1.54017,0.713226
