Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\ObservationWells"
 
Branch,OW100,OW157,OW159,OW167,OW169,OW181,OW188,OW209,OW22,OW233,OW234,OW235,OW236,OW237,OW238,OW239,OW240,OW241,OW242,OW243,OW244,OW249,OW29,OW35,OW36,OW43,OW48,OW51,OW83,OW87,OW97
"Oct 1982",685.8,701.04,688,707,704.429,716.28,715.551,705.637,667.886,665.365,664,672.844,682.82,679.018,683.622,682.82,685.805,685.805,688.136,676.153,676.028,731.52,603,676.372,709.228,692.507,715.144,726.232,701.04,700,699
"Nov 1982",685.577,700.997,687.32,710.772,704.741,715.537,715.521,705.603,666.608,665.356,664.63,673.098,682.833,679.253,683.536,682.833,685.396,685.396,687.791,676.22,676.126,731.55,609.735,676.129,708.956,692.457,715.665,726.295,701.078,699.883,700.19
"Dec 1982",685.657,700.961,687.055,711.424,704.922,715.043,715.473,705.604,665.789,665.365,664.717,673.287,682.813,679.432,683.484,682.813,685.119,685.119,687.56,676.263,676.204,731.595,611.86,675.944,708.688,692.596,715.998,726.361,701.098,699.91,700.437
"Jan 1983",685.826,700.925,686.91,711.517,705.04,714.637,715.406,705.621,665.173,665.387,664.752,673.438,682.785,679.579,683.45,682.785,684.915,684.915,687.384,676.297,676.263,731.648,612.645,675.786,708.401,692.772,716.188,726.438,701.102,699.991,700.487
"Feb 1983",686.005,700.888,686.812,711.485,705.119,714.289,715.324,705.645,664.689,665.422,664.785,673.559,682.759,679.7,683.429,682.759,684.767,684.767,687.25,676.326,676.307,731.702,612.942,675.652,708.107,692.96,716.294,726.523,701.094,700.264,700.513
"Mar 1983",686.425,700.854,686.742,711.425,705.169,714.004,715.243,705.671,664.323,665.462,664.81,673.652,682.742,679.795,683.419,682.742,684.666,684.666,687.156,676.352,676.342,731.75,613.293,675.549,707.836,693.112,716.353,726.606,701.079,700.42,700.546
"Apr 1983",686.613,700.814,686.679,711.341,705.206,713.717,715.146,705.699,663.974,665.517,664.862,673.74,682.73,679.885,683.416,682.73,684.582,684.582,687.075,676.38,676.374,731.796,613.516,675.452,707.541,693.241,716.388,726.705,701.057,700.534,700.609
"May 1983",686.729,700.774,686.629,711.251,705.228,713.461,715.048,705.725,663.674,665.578,664.905,673.815,682.726,679.964,683.419,682.726,684.522,684.522,687.013,676.407,676.404,731.834,613.632,675.374,707.258,693.331,716.407,726.807,701.031,700.627,700.695
"Jun 1983",686.821,700.731,686.587,711.152,705.24,713.216,714.943,705.751,663.394,665.648,664.958,673.884,682.727,680.039,683.427,682.727,684.475,684.475,686.964,676.437,676.433,731.865,613.689,675.31,706.972,693.396,716.415,726.917,701.002,700.712,700.799
"Jul 1983",686.823,700.69,686.553,711.052,705.243,712.994,714.828,705.772,663.144,665.636,664.286,673.946,682.733,680.106,683.44,682.733,684.441,684.441,686.924,676.466,676.461,731.886,613.696,675.261,706.477,693.433,716.415,727.028,700.968,700.784,700.889
