Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: SG_KeyaPahaRiver"
Cubic Meters per Second
Statistic,Modeled,Observed
"Oct 1982",1.69864,1.69864
"Nov 1982",1.88165,1.5538
"Dec 1982",1.74385,1.42335
"Jan 1983",1.76321,1.41638
"Feb 1983",1.9366,1.53114
"Mar 1983",1.81134,1.46362
"Apr 1983",2.17765,1.76043
"May 1983",2.67735,2.2719
"Jun 1983",2.45568,2.00819
"Jul 1983",1.89627,1.46672
"Aug 1983",1.63446,1.18022
"Sep 1983",1.62798,1.14983
"Oct 1983",1.51668,1.06121
"Nov 1983",1.61423,1.11959
"Dec 1983",1.43368,0.963745
"Jan 1984",1.48006,0.987619
"Feb 1984",1.64573,1.11311
"Mar 1984",1.43985,0.969277
"Apr 1984",1.85373,1.32882
"May 1984",1.71789,1.22253
"Jun 1984",2.16455,1.63109
"Jul 1984",1.76793,1.26623
"Aug 1984",1.6223,1.10012
"Sep 1984",1.5494,1.00678
"Oct 1984",1.45517,0.944473
"Nov 1984",1.52237,0.971804
"Dec 1984",1.38884,0.871443
"Jan 1985",1.43067,0.89377
"Feb 1985",1.57802,0.981873
"Mar 1985",1.38844,0.901112
"Apr 1985",1.5672,1.00707
"May 1985",1.45565,0.930161
"Jun 1985",1.57597,1.01303
"Jul 1985",1.46656,0.940848
"Aug 1985",1.51855,0.973709
"Sep 1985",1.601,1.03699
"Oct 1985",1.40797,0.878746
"Nov 1985",1.446,0.876515
"Dec 1985",1.35053,0.816568
"Jan 1986",1.42973,0.876814
"Feb 1986",1.5374,0.924407
"Mar 1986",1.57037,1.0698
"Apr 1986",1.95894,1.38389
"May 1986",1.73198,1.19226
"Jun 1986",1.92097,1.34267
"Jul 1986",1.64285,1.10363
"Aug 1986",1.60995,1.05124
"Sep 1986",1.81829,1.24006
"Oct 1986",1.46673,0.924235
"Nov 1986",1.47531,0.890972
"Dec 1986",1.35599,0.808222
"Jan 1987",1.39086,0.823765
"Feb 1987",1.67145,1.04307
"Mar 1987",1.44937,0.936491
"Apr 1987",1.66534,1.07668
"May 1987",1.66706,1.11554
"Jun 1987",1.60634,1.01621
"Jul 1987",1.46637,0.917225
"Aug 1987",1.46468,0.896244
"Sep 1987",1.42902,0.841177
"Oct 1987",1.3039,0.753095
"Nov 1987",1.40792,0.814964
"Dec 1987",1.30774,0.752447
"Jan 1988",1.33611,0.761741
"Feb 1988",1.42948,0.815445
"Mar 1988",1.3074,0.770101
"Apr 1988",1.44392,0.849231
"May 1988",1.4971,0.940177
"Jun 1988",1.55411,0.958318
"Jul 1988",1.36937,0.815203
"Aug 1988",1.38837,0.814627
"Sep 1988",1.42712,0.833826
