Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\ObservationWells"
 
Branch,OW100,OW157,OW159,OW167,OW169,OW181,OW188,OW209,OW22,OW233,OW234,OW235,OW236,OW237,OW238,OW239,OW240,OW241,OW242,OW243,OW244,OW249,OW29,OW35,OW36,OW43,OW48,OW51,OW83,OW87,OW97
"Oct 1982",685.8,701.04,688,707,704.429,716.28,715.551,705.637,667.886,665.365,664,672.844,682.82,679.018,683.622,682.82,685.805,685.805,688.136,676.153,676.028,731.52,603,676.372,709.228,692.507,715.144,726.232,701.04,700,699
"Nov 1982",685.886,700.915,686.989,711.206,704.981,714.655,715.349,705.647,665.312,665.438,664.747,673.418,682.792,679.567,683.472,682.792,684.987,684.987,687.436,676.294,676.254,731.662,611.612,675.807,708.286,692.735,716.015,726.502,701.079,700.124,700.444
"Dec 1982",686.521,700.805,686.727,711.247,705.159,713.68,715.069,705.726,663.991,665.615,664.915,673.754,682.772,679.908,683.454,682.772,684.65,684.65,687.131,676.402,676.401,731.789,612.936,675.499,707.385,693.095,716.284,726.83,701.041,700.61,700.731
"Jan 1983",686.93,700.69,686.619,710.968,705.196,712.92,714.741,705.805,663.061,665.866,665.11,674.005,682.803,680.173,683.499,682.803,684.512,684.512,686.992,676.519,676.532,731.857,613.223,675.334,706.515,693.271,716.356,727.216,700.967,700.946,701.072
"Feb 1983",687.146,700.578,686.584,710.65,705.156,712.306,714.402,705.866,662.326,666.155,665.326,674.217,682.875,680.4,683.577,682.875,684.48,684.48,686.947,676.649,676.668,731.858,613.178,675.267,705.726,693.299,716.371,727.63,700.88,701.209,701.503
"Mar 1983",687.296,700.484,686.591,710.362,705.083,711.837,714.098,705.905,661.754,666.43,665.523,674.396,682.963,680.588,683.665,682.963,684.502,684.502,686.953,676.777,676.802,731.815,613.081,675.256,705.079,693.259,716.373,728.011,700.799,701.438,701.749
"Apr 1983",687.422,700.382,686.618,710.042,704.967,711.391,713.768,705.928,661.186,666.743,665.768,674.582,683.071,680.78,683.768,683.071,684.555,684.555,686.985,676.923,676.958,731.721,612.926,675.269,704.456,693.166,716.368,728.416,700.706,701.652,701.933
"May 1983",687.533,700.29,686.656,709.739,704.833,711.013,713.458,705.937,660.685,667.042,665.995,674.758,683.181,680.955,683.869,683.181,684.622,684.622,687.03,677.068,677.115,731.601,612.81,675.288,703.921,693.052,716.367,728.788,700.616,701.836,702.08
"Jun 1983",687.643,700.197,686.696,709.433,704.677,710.666,713.15,705.933,660.204,667.345,666.235,674.933,683.292,681.123,683.968,683.292,684.695,684.695,687.079,677.216,677.277,731.455,612.721,675.304,703.441,692.926,716.369,729.147,700.521,702.003,702.19
"Jul 1983",687.593,700.11,686.721,709.156,704.514,710.354,712.823,705.897,659.769,667.361,665.573,675.053,683.391,681.272,684.053,683.391,684.757,684.757,687.104,677.347,677.431,731.285,612.629,675.311,702.458,692.79,716.367,729.456,700.406,702.118,702.19
"Aug 1983",687.613,700.018,686.735,708.89,704.335,710.05,712.506,705.838,659.343,667.457,665.681,675.121,683.479,681.409,684.125,683.479,684.809,684.809,687.117,677.458,677.569,731.089,612.492,675.3,701.776,692.652,716.366,729.74,700.28,702.197,702.158
"Sep 1983",687.662,699.924,686.742,708.631,704.15,709.76,712.204,705.767,658.943,667.597,665.818,675.171,683.555,681.53,684.185,683.555,684.853,684.853,687.125,677.55,677.686,730.881,612.357,675.273,701.241,692.52,716.365,729.995,700.154,702.26,702.111
"Oct 1983",687.726,699.834,686.744,708.381,703.967,709.494,711.925,705.69,658.577,667.746,665.935,675.214,683.62,681.634,684.234,683.62,684.889,684.889,687.129,677.626,677.784,730.676,612.253,675.233,700.787,692.403,716.364,730.221,700.034,702.318,702.061
"Nov 1983",687.962,699.741,686.754,708.126,703.779,709.24,711.691,705.629,658.22,668.187,666.95,675.257,683.681,681.731,684.28,683.681,684.926,684.926,687.149,677.694,677.872,730.479,612.161,675.181,701.025,692.304,716.373,730.452,699.938,702.405,702.082
"Dec 1983",688.116,699.652,686.767,707.885,703.601,709.008,711.463,705.578,657.894,668.541,667.245,675.298,683.738,681.82,684.323,683.738,684.964,684.964,687.171,677.756,677.947,730.297,612.1,675.124,701.04,692.217,716.381,730.672,699.851,702.494,702.093
"Jan 1984",688.276,699.561,686.777,707.641,703.421,708.777,711.229,705.525,657.574,668.851,667.499,675.337,683.795,681.906,684.365,683.795,685.002,685.002,687.191,677.814,678.017,730.111,612.038,675.06,700.979,692.133,716.388,730.889,699.762,702.583,702.086
"Feb 1984",688.429,699.471,686.783,707.405,703.245,708.554,710.999,705.468,657.271,669.124,667.727,675.375,683.847,681.987,684.405,683.847,685.035,685.035,687.204,677.867,678.078,729.927,611.987,674.992,700.89,692.058,716.393,731.094,699.672,702.666,702.066
"Mar 1984",688.559,699.387,686.784,707.189,703.084,708.352,710.789,705.411,657,669.354,667.917,675.408,683.893,682.061,684.439,683.893,685.062,685.062,687.211,677.912,678.13,729.755,611.962,674.928,700.795,691.995,716.399,731.274,699.587,702.729,702.04
"Apr 1984",688.69,699.298,686.78,706.972,702.916,708.144,710.57,705.347,656.725,669.585,668.121,675.44,683.938,682.136,684.474,683.938,685.087,685.087,687.213,677.957,678.178,729.573,611.932,674.858,700.705,691.935,716.403,731.454,699.496,702.784,702.006
"May 1984",688.816,699.214,686.774,706.806,702.757,707.949,710.367,705.284,656.473,669.792,668.298,675.47,683.979,682.205,684.505,683.979,685.107,685.107,687.211,677.996,678.219,729.4,611.927,674.793,700.62,691.885,716.41,731.62,699.409,702.836,701.975
"Jun 1984",688.942,699.128,686.763,706.613,702.595,707.755,710.163,705.217,656.226,669.995,668.477,675.496,684.017,682.27,684.533,684.017,685.124,685.124,687.206,678.018,678.253,729.224,611.913,674.728,700.544,691.84,716.416,731.784,699.321,702.885,701.942
"Jul 1984",688.902,699.047,686.739,706.423,702.441,707.565,709.933,705.129,655.997,669.923,667.886,675.514,684.047,682.328,684.556,684.047,685.13,685.13,687.178,678.031,678.279,729.043,611.919,674.668,699.848,691.79,716.416,731.921,699.214,702.895,701.837
"Aug 1984",689.128,698.964,686.705,706.229,702.283,707.381,709.761,705.025,655.772,669.935,667.929,675.53,684.07,682.381,684.573,684.07,685.126,685.126,687.141,678.039,678.298,728.852,611.901,674.606,699.44,691.743,716.417,732.047,699.127,702.927,701.824
"Sep 1984",689.078,698.879,686.667,706.038,702.125,707.193,709.539,704.917,655.555,669.989,667.994,675.543,684.088,682.426,684.586,684.088,685.117,685.117,687.102,678.046,678.312,728.66,611.872,674.543,699.156,691.699,716.418,732.163,699.019,702.91,701.71
"Oct 1984",689.092,698.797,686.629,705.869,701.973,707.011,709.336,704.809,655.352,670.051,668.042,675.554,684.101,682.464,684.596,684.101,685.106,685.106,687.064,678.051,678.322,728.476,611.845,674.48,698.92,691.657,716.418,732.267,698.911,702.878,701.602
"Nov 1984",689.289,698.713,686.601,705.695,701.819,706.836,709.178,704.721,655.152,670.389,668.857,675.568,684.112,682.5,684.603,684.112,685.096,685.096,687.042,678.053,678.328,728.303,611.816,674.415,699.398,691.629,716.425,732.385,698.824,702.877,701.575
"Dec 1984",689.403,698.632,686.582,705.528,701.674,706.673,709.024,704.645,654.965,670.64,669.07,675.582,684.125,682.532,684.612,684.125,685.094,685.094,687.031,678.057,678.332,728.148,611.796,674.353,699.612,691.603,716.429,732.503,698.747,702.886,701.547
"Jan 1985",689.488,698.549,686.564,705.358,701.53,706.508,708.863,704.57,654.779,670.846,669.244,675.596,684.139,682.564,684.623,684.139,685.093,685.093,687.02,678.061,678.335,727.993,611.771,674.29,699.724,691.576,716.431,732.621,698.669,702.889,701.509
"Feb 1985",689.568,698.466,686.545,705.194,701.391,706.347,708.702,704.495,654.6,671.02,669.396,675.61,684.152,682.594,684.633,684.152,685.092,685.092,687.006,678.065,678.337,727.841,611.75,674.23,699.782,691.552,716.432,732.733,698.589,702.886,701.465
"Mar 1985",689.638,698.392,686.526,705.051,701.268,706.204,708.558,704.425,654.444,671.155,669.51,675.622,684.163,682.621,684.641,684.163,685.09,685.09,686.992,678.068,678.338,727.705,611.738,674.179,699.803,691.533,716.433,732.83,698.517,702.878,701.422
