Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: SG_KeyaPahaRiver"
Cubic Meters per Second
Statistic,Modeled,Observed
"Oct 1982",1.69864,1.69864
"Nov 1982",0.790788,1.5538
"Dec 1982",0.729395,1.42335
"Jan 1983",0.734447,1.41638
"Feb 1983",0.809729,1.53114
"Mar 1983",0.895046,1.46362
"Apr 1983",1.12733,1.76043
"May 1983",1.69308,2.2719
"Jun 1983",1.40114,2.00819
"Jul 1983",0.910873,1.46672
"Aug 1983",0.612134,1.18022
"Sep 1983",0.569308,1.14983
"Oct 1983",0.523703,1.06121
"Nov 1983",0.543896,1.11959
"Dec 1983",0.431544,0.963745
"Jan 1984",0.443288,0.987619
"Feb 1984",0.536117,1.11311
"Mar 1984",0.468181,0.969277
"Apr 1984",0.778049,1.32882
"May 1984",0.710265,1.22253
"Jun 1984",1.08708,1.63109
"Jul 1984",0.763115,1.26623
"Aug 1984",0.582575,1.10012
"Sep 1984",0.475085,1.00678
"Oct 1984",0.44937,0.944473
"Nov 1984",0.440466,0.971804
"Dec 1984",0.377812,0.871443
"Jan 1985",0.387565,0.89377
"Feb 1985",0.424621,0.981873
"Mar 1985",0.449114,0.901112
"Apr 1985",0.491995,1.00707
"May 1985",0.450848,0.930161
"Jun 1985",0.503692,1.01303
"Jul 1985",0.468503,0.940848
"Aug 1985",0.487701,0.973709
"Sep 1985",0.537395,1.03699
"Oct 1985",0.41327,0.878746
"Nov 1985",0.377045,0.876515
"Dec 1985",0.351568,0.816568
"Jan 1986",0.399866,0.876814
"Feb 1986",0.398993,0.924407
"Mar 1986",0.643339,1.0698
"Apr 1986",0.897703,1.38389
"May 1986",0.739753,1.19226
"Jun 1986",0.861377,1.34267
"Jul 1986",0.657791,1.10363
"Aug 1986",0.592164,1.05124
"Sep 1986",0.767682,1.24006
"Oct 1986",0.483969,0.924235
"Nov 1986",0.41706,0.890972
"Dec 1986",0.366116,0.808222
"Jan 1987",0.369146,0.823765
"Feb 1987",0.543833,1.04307
"Mar 1987",0.531194,0.936491
"Apr 1987",0.6144,1.07668
"May 1987",0.684998,1.11554
"Jun 1987",0.558276,1.01621
"Jul 1987",0.494242,0.917225
"Aug 1987",0.460913,0.896244
"Sep 1987",0.393544,0.841177
"Oct 1987",0.336232,0.753095
"Nov 1987",0.365138,0.814964
"Dec 1987",0.333086,0.752447
"Jan 1988",0.330311,0.761741
"Feb 1988",0.357625,0.815445
"Mar 1988",0.372803,0.770101
"Apr 1988",0.412271,0.849231
"May 1988",0.533339,0.940177
"Jun 1988",0.525991,0.958318
