Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\ObservationWells"
 
Branch,OW100,OW157,OW159,OW167,OW169,OW181,OW188,OW209,OW22,OW233,OW234,OW235,OW236,OW237,OW238,OW239,OW240,OW241,OW242,OW243,OW244,OW249,OW29,OW35,OW36,OW43,OW48,OW51,OW83,OW87,OW97
"Oct 1982",685.8,701.04,688,707,704.429,716.28,715.551,705.637,667.886,665.365,664,672.844,682.82,679.018,683.622,682.82,685.805,685.805,688.136,676.153,676.028,731.52,603,676.372,709.228,692.507,715.144,726.232,701.04,700,699
"Nov 1982",685.719,701.033,687.353,709.748,704.493,716.046,715.589,705.669,666.861,665.343,664.396,672.743,682.708,679.049,682.98,682.708,684.955,684.955,687.392,675.517,676.06,731.581,610.836,676.36,708.962,692.482,715.241,726.271,701.113,699.913,699.887
"Dec 1982",685.671,701.027,687.004,710.92,704.516,715.871,715.618,705.705,666.175,665.341,664.428,672.634,682.511,679.024,682.592,682.511,684.339,684.339,686.876,675.056,676.083,731.639,612.628,676.351,708.728,692.486,715.316,726.307,701.177,699.88,700.327
"Jan 1983",685.639,701.02,686.741,711.443,704.503,715.723,715.637,705.739,665.639,665.353,664.448,672.518,682.276,678.96,682.309,682.276,683.835,683.835,686.459,674.684,676.09,731.692,613.409,676.341,708.518,692.514,715.371,726.34,701.231,699.877,700.546
"Feb 1983",685.62,701.01,686.512,711.665,704.464,715.596,715.648,705.771,665.202,665.376,664.471,672.408,682.04,678.876,682.089,682.04,683.421,683.421,686.112,674.387,676.084,731.741,613.75,676.331,708.324,692.549,715.408,726.369,701.276,699.891,700.653
"Mar 1983",685.61,701,686.321,711.76,704.416,715.496,715.655,705.8,664.863,665.404,664.479,672.315,681.838,678.794,681.924,681.838,683.101,683.101,685.839,674.166,676.073,731.784,613.869,676.324,708.137,692.585,715.434,726.395,701.313,699.914,700.708
"Apr 1983",685.601,700.984,686.109,711.773,704.344,715.391,715.653,705.825,664.522,665.442,664.528,672.217,681.623,678.696,681.761,681.623,682.785,682.785,685.561,673.956,676.053,731.822,613.876,676.312,707.966,692.616,715.445,726.419,701.343,699.942,700.721
"May 1983",685.594,700.966,685.909,711.75,704.264,715.296,715.648,705.849,664.219,665.483,664.558,672.129,681.427,678.6,681.616,681.427,682.508,682.508,685.31,673.781,676.03,731.856,613.85,676.301,707.8,692.646,715.451,726.441,701.367,699.972,700.723
"Jun 1983",685.589,700.943,685.708,711.697,704.17,715.203,715.639,705.873,663.923,665.528,664.599,672.043,681.234,678.498,681.476,681.234,682.243,682.243,685.073,673.619,676.002,731.888,613.822,676.289,707.645,692.675,715.453,726.463,701.384,700.021,700.72
"Jul 1983",685.583,700.918,685.517,711.631,704.072,715.117,715.568,705.893,663.65,665.432,663.683,671.963,681.056,678.4,681.346,681.056,682.003,682.003,684.849,673.478,675.973,731.914,613.774,676.279,705.585,692.7,715.452,726.484,701.392,700.201,700.7
