Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: SG_KeyaPahaRiver"
Cubic Meters per Second
Statistic,Modeled,Observed
"Oct 1982",1.69864,1.69864
"Nov 1982",1.25861,1.5538
"Dec 1982",1.16598,1.42335
"Jan 1983",1.17328,1.41638
"Feb 1983",1.28275,1.53114
"Mar 1983",1.27375,1.46362
"Apr 1983",1.55456,1.76043
"May 1983",2.08763,2.2719
"Jun 1983",1.81827,2.00819
"Jul 1983",1.29254,1.46672
"Aug 1983",1.00339,1.18022
"Sep 1983",0.970764,1.14983
"Oct 1983",0.896957,1.06121
"Nov 1983",0.948663,1.11959
"Dec 1983",0.806819,0.963745
"Jan 1984",0.828189,0.987619
"Feb 1984",0.945675,1.11311
"Mar 1984",0.824636,0.969277
"Apr 1984",1.17024,1.32882
"May 1984",1.07532,1.22253
"Jun 1984",1.47509,1.63109
"Jul 1984",1.11974,1.26623
"Aug 1984",0.950035,1.10012
"Sep 1984",0.852952,1.00678
"Oct 1984",0.801457,0.944473
"Nov 1984",0.821602,0.971804
"Dec 1984",0.732062,0.871443
"Jan 1985",0.750459,0.89377
"Feb 1985",0.824064,0.981873
"Mar 1985",0.773082,0.901112
"Apr 1985",0.861276,1.00707
"May 1985",0.79448,0.930161
"Jun 1985",0.869008,1.01303
"Jul 1985",0.80492,0.940848
"Aug 1985",0.833937,0.973709
"Sep 1985",0.893119,1.03699
"Oct 1985",0.744624,0.878746
"Nov 1985",0.734924,0.876515
"Dec 1985",0.685573,0.816568
"Jan 1986",0.742201,0.876814
"Feb 1986",0.77625,0.924407
"Mar 1986",0.949596,1.0698
"Apr 1986",1.24716,1.38389
"May 1986",1.06522,1.19226
"Jun 1986",1.20794,1.34267
"Jul 1986",0.976481,1.10363
"Aug 1986",0.920549,1.05124
"Sep 1986",1.10588,1.24006
"Oct 1986",0.799416,0.924235
"Nov 1986",0.759774,0.890972
"Dec 1986",0.686533,0.808222
"Jan 1987",0.69946,0.823765
"Feb 1987",0.906626,1.04307
"Mar 1987",0.825902,0.936491
"Apr 1987",0.950969,1.07668
"May 1987",0.99866,1.11554
"Jun 1987",0.892218,1.01621
"Jul 1987",0.800166,0.917225
"Aug 1987",0.776314,0.896244
"Sep 1987",0.718371,0.841177
"Oct 1987",0.639058,0.753095
"Nov 1987",0.694619,0.814964
"Dec 1987",0.640644,0.752447
"Jan 1988",0.647146,0.761741
"Feb 1988",0.694192,0.815445
"Mar 1988",0.664877,0.770101
"Apr 1988",0.733973,0.849231
"May 1988",0.833034,0.940177
"Jun 1988",0.844772,0.958318
"Jul 1988",0.708627,0.815203
"Aug 1988",0.705383,0.814627
"Sep 1988",0.721808,0.833826
"Oct 1988",0.607383,0.711303
"Nov 1988",0.666195,0.776325
"Dec 1988",0.606711,0.708956
"Jan 1989",0.626362,0.731218
"Feb 1989",0.683053,0.798234
"Mar 1989",0.582732,0.676014
"Apr 1989",0.724295,0.830197
"May 1989",0.642646,0.741052
"Jun 1989",0.653709,0.758003
"Jul 1989",0.625204,0.719037
"Aug 1989",0.610068,0.706455
"Sep 1989",0.724433,0.823173
"Oct 1989",0.600222,0.69199
"Nov 1989",0.636417,0.736484
"Dec 1989",0.572993,0.67214
"Jan 1990",0.615744,0.712637
"Feb 1990",0.667225,0.773092
"Mar 1990",0.602065,0.687784
"Apr 1990",0.682273,0.77963
"May 1990",0.742529,0.833073
"Jun 1990",0.807994,0.904051
"Jul 1990",0.748409,0.834902
"Aug 1990",0.686097,0.775308
"Sep 1990",0.622209,0.71406
"Oct 1990",0.579085,0.664755
"Nov 1990",0.614446,0.713226
"Dec 1990",0.560645,0.648036
"Jan 1991",0.57786,0.667324
"Feb 1991",0.654655,0.75297
"Mar 1991",0.555775,0.635485
"Apr 1991",0.688003,0.778636
"May 1991",0.994342,1.07869
"Jun 1991",1.20628,1.29583
"Jul 1991",0.638934,0.721534
"Aug 1991",0.703174,0.788268
"Sep 1991",0.642506,0.730082
"Oct 1991",0.632982,0.714421
"Nov 1991",0.605956,0.695677
"Dec 1991",0.5673,0.648885
"Jan 1992",0.595387,0.679199
"Feb 1992",0.663545,0.75261
"Mar 1992",0.640803,0.718332
"Apr 1992",0.619049,0.704272
"May 1992",0.596847,0.676236
"Jun 1992",0.849902,0.934253
"Jul 1992",0.912318,0.991207
"Aug 1992",0.749387,0.830514
"Sep 1992",0.651736,0.735165
"Oct 1992",0.555103,0.632911
"Nov 1992",0.610431,0.692822
"Dec 1992",0.539419,0.616232
"Jan 1993",0.555193,0.634198
"Feb 1993",0.612093,0.69915
"Mar 1993",0.617266,0.687977
"Apr 1993",0.757864,0.838398
"May 1993",0.739724,0.814816
"Jun 1993",1.10206,1.18195
"Jul 1993",1.18021,1.25498
"Aug 1993",0.745961,0.822963
"Sep 1993",0.788158,0.867493
"Oct 1993",0.560143,0.634263
"Nov 1993",0.616467,0.695134
"Dec 1993",0.577862,0.651309
"Jan 1994",0.551345,0.627007
"Feb 1994",0.607626,0.691114
"Mar 1994",0.637054,0.704952
"Apr 1994",0.711125,0.788533
"May 1994",0.604024,0.676256
"Jun 1994",0.766627,0.843485
"Jul 1994",0.723517,0.79547
"Aug 1994",0.765572,0.839668
"Sep 1994",0.608382,0.684651
"Oct 1994",0.604285,0.675261
"Nov 1994",0.582126,0.658124
"Dec 1994",0.529726,0.60026
"Jan 1995",0.535804,0.608452
"Feb 1995",0.618338,0.698498
"Mar 1995",0.546729,0.611917
"Apr 1995",0.911301,0.985639
"May 1995",1.26871,1.33808
"Jun 1995",1.14714,1.22099
"Jul 1995",0.876191,0.945624
"Aug 1995",0.624681,0.696322
"Sep 1995",0.741781,0.815743
"Oct 1995",0.842319,0.911466
"Nov 1995",0.572555,0.645826
"Dec 1995",0.524856,0.593365
