Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\ObservationWells"
 
Branch,OW100,OW157,OW159,OW167,OW169,OW181,OW188,OW209,OW22,OW233,OW234,OW235,OW236,OW237,OW238,OW239,OW240,OW241,OW242,OW243,OW244,OW249,OW29,OW35,OW36,OW43,OW48,OW51,OW83,OW87,OW97
"Oct 1982",685.8,701.04,688,707,704.429,716.28,715.551,705.637,667.886,665.365,664,672.844,682.82,679.018,683.622,682.82,685.805,685.805,688.136,676.153,676.028,731.52,603,676.372,709.228,692.507,715.144,726.232,701.04,700,699
"Nov 1982",685.438,701.049,687.402,710.135,704.94,715.509,715.53,705.55,666.939,665.188,664.542,672.878,682.621,678.963,682.99,682.621,684.916,684.916,687.405,675.684,676.051,731.609,607.331,676.205,708.722,692.105,714.438,726.095,701.13,699.865,700.255
"Dec 1982",685.501,701.062,687.096,709.89,705.195,714.966,715.503,705.663,666.259,665.129,664.553,672.864,682.389,678.895,682.594,682.389,684.23,684.23,686.885,675.339,676.064,731.717,608.454,676.125,708.324,691.934,714.031,725.989,701.207,699.974,700.526
"Jan 1983",685.59,701.076,686.884,709.528,705.345,714.499,715.454,705.793,665.707,665.125,664.573,672.816,682.142,678.812,682.314,682.142,683.656,683.656,686.47,675.06,676.063,731.835,608.728,676.079,707.967,691.819,713.697,725.897,701.27,700.172,700.573
"Feb 1983",685.645,701.088,686.716,709.215,705.434,714.084,715.386,705.902,665.254,665.151,664.602,672.751,681.904,678.723,682.11,681.904,683.186,683.186,686.139,674.837,676.049,731.952,608.733,676.048,707.631,691.724,713.405,725.82,701.32,700.285,700.566
"Mar 1983",685.67,701.1,686.589,708.976,705.485,713.743,715.312,705.983,664.904,665.188,664.626,672.685,681.707,678.645,681.969,681.707,682.832,682.832,685.893,674.673,676.032,732.054,608.666,676.027,707.318,691.639,713.172,725.762,701.359,700.356,700.553
"Apr 1983",685.671,701.109,686.454,708.756,705.506,713.39,715.212,706.047,664.557,665.237,664.666,672.606,681.502,678.555,681.841,681.502,682.496,682.496,685.66,674.516,676.003,732.151,608.539,676.004,707.001,691.529,712.937,725.704,701.388,700.406,700.53
"May 1983",685.66,701.117,686.332,708.559,705.503,713.073,715.105,706.094,664.255,665.286,664.695,672.528,681.32,678.469,681.736,681.32,682.214,682.214,685.464,674.385,675.972,732.233,608.419,675.982,706.689,691.414,712.738,725.656,701.41,700.447,700.519
"Jun 1983",685.642,701.121,686.208,708.373,705.476,712.767,714.985,706.128,663.965,665.335,664.725,672.445,681.146,678.381,681.64,681.146,681.957,681.957,685.282,674.262,675.935,732.304,608.311,675.96,706.378,691.289,712.56,725.613,701.424,700.481,700.517
"Jul 1983",685.518,701.124,686.089,708.204,705.431,712.481,714.784,706.1,663.702,665.195,664.108,672.366,680.989,678.298,681.556,680.989,681.733,681.733,685.112,674.155,675.898,732.35,608.19,675.94,704.516,691.162,712.404,725.576,701.417,700.485,700.486
"Aug 1983",685.393,701.122,685.962,708.035,705.364,712.191,714.555,706.048,663.439,665.089,664.023,672.284,680.838,678.214,681.476,680.838,681.52,681.52,684.938,674.051,675.857,732.363,608.032,675.913,703.049,691.022,712.257,725.536,701.386,700.466,700.437
"Sep 1983",685.284,701.117,685.835,707.873,705.281,711.909,714.326,705.987,663.183,665.016,663.977,672.204,680.697,678.133,681.401,680.697,681.322,681.322,684.764,673.956,675.817,732.347,607.871,675.882,701.821,690.877,712.122,725.494,701.337,700.437,700.389
